Nomor per tahun,Kode Prov,Nama Provinsi,Kode Kab/Kota,Nama Kabupaten,Tipe,Tahun,IKP,PERINGKAT KAB/KOTA,KELOMPOK IKP
460,32,Jawa Barat,3275,Kota Bekasi Ko,Kota,2024,93.90,2,6
461,32,Jawa Barat,3276,Kota Depok,Kota,2024,89.81,27,6
462,32,Jawa Barat,3277,Kota Cimahi,Kota,2024,88.68,44,6
463,32,Jawa Barat,3278,Kota Tasikmalaya ko,Kota,2024,74.37,346,6
464,32,Jawa Barat,3279,Kota Banjar,Kota,2024,78.92,262,6
465,33,Jawa Tengah,3371,Kota Magelang ko,Kota,2024,91.41,15,6
466,33,Jawa Tengah,3372,Kota Surakarta,Kota,2024,87.67,59,6
467,33,Jawa Tengah,3373,Kota Salatiga,Kota,2024,91.35,16,6
468,33,Jawa Tengah,3374,Kota Semarang ko,Kota,2024,92.74,8,6
469,33,Jawa Tengah,3375,Kota Pekalongan ko,Kota,2024,78.27,280,6
470,33,Jawa Tengah,3376,Kota Tegal ko,Kota,2024,85.73,103,6
471,34,DI Yogyakarta,3471,Kota Yogyakarta,Kota,2024,84.21,137,6
472,35,Jawa Timur,3571,Kota Kediri ko,Kota,2024,76.67,310,6
473,35,Jawa Timur,3572,Kota Blitar ko,Kota,2024,80.80,215,6
474,35,Jawa Timur,3573,Kota Malang kota,Kota,2024,88.76,42,6
475,35,Jawa Timur,3574,Kota Probolinggo ko,Kota,2024,78.62,271,6
476,35,Jawa Timur,3575,Kota Pasuruan ko,Kota,2024,84.16,138,6
477,35,Jawa Timur,3576,Kota Mojokerto ko,Kota,2024,89.30,35,6
478,35,Jawa Timur,3577,Kota Madiun ko,Kota,2024,92.29,10,6
479,35,Jawa Timur,3578,Kota Surabaya,Kota,2024,93.06,3,6
480,35,Jawa Timur,3579,Kota Batu,Kota,2024,81.31,197,6
481,36,Banten,3671,Kota Tangerang Ko,Kota,2024,85.92,96,6
482,36,Banten,3672,Kota Cilegon,Kota,2024,80.12,236,6
483,36,Banten,3673,Kota Serang Ko,Kota,2024,71.95,375,6
484,36,Banten,3674,Kota Tangerang Selatan,Kota,2024,88.67,45,6
485,51,Bali,5171,Kota Denpasar,Kota,2024,96.37,1,6
486,52,Nusa Tenggara Barat,5271,Kota Mataram,Kota,2024,80.15,234,6
487,52,Nusa Tenggara Barat,5272,Kota Bima ko,Kota,2024,75.53,331,6
488,53,Nusa Tenggara Timur,5371,Kota Kupang ko,Kota,2024,75.94,322,6
489,61,Kalimantan Barat,6171,Kota Pontianak ko,Kota,2024,72.55,371,6
490,61,Kalimantan Barat,6172,Kota Singkawang,Kota,2024,68.27,407,5
491,62,Kalimantan Tengah,6271,Kota Palangka Raya,Kota,2024,80.69,217,6
492,63,Kalimantan Selatan,6371,Kota Banjarmasin,Kota,2024,85.62,109,6
493,63,Kalimantan Selatan,6372,Kota Banjar Baru,Kota,2024,86.34,91,6
494,64,Kalimantan Timur,6471,Kota Balikpapan,Kota,2024,91.23,18,6
495,64,Kalimantan Timur,6472,Kota Samarinda,Kota,2024,89.68,28,6
496,64,Kalimantan Timur,6474,Kota Bontang,Kota,2024,88.89,38,6
497,65,Kalimantan Utara,6571,Kota Tarakan,Kota,2024,87.53,65,6
498,71,Sulawesi Utara,7171,Kota Manado,Kota,2024,87.56,62,6
499,71,Sulawesi Utara,7172,Kota Bitung,Kota,2024,82.00,183,6
500,71,Sulawesi Utara,7173,Kota Tomohon,Kota,2024,83.92,143,6
501,71,Sulawesi Utara,7174,Kota Kotamobagu,Kota,2024,80.21,231,6
502,72,Sulawesi Tengah,7271,Kota Palu,Kota,2024,82.43,176,6
503,73,Sulawesi Selatan,7371,Kota Makassar,Kota,2024,87.95,54,6
504,73,Sulawesi Selatan,7372,Kota Pare-Pare,Kota,2024,82.76,168,6
505,73,Sulawesi Selatan,7373,Kota Palopo,Kota,2024,83.05,161,6
506,74,Sulawesi Tenggara,7471,Kota Kendari,Kota,2024,89.67,30,6
507,74,Sulawesi Tenggara,7472,Kota Bau-Bau,Kota,2024,80.49,222,6
508,75,Gorontalo,7571,Kota Gorontalo Ko,Kota,2024,86.50,87,6
509,81,Maluku,8171,Kota Ambon,Kota,2024,84.56,132,6
510,81,Maluku,8172,Kota Tual,Kota,2024,59.11,454,4
511,82,Maluku Utara,8271,Kota Ternate,Kota,2024,88.24,48,6
512,82,Maluku Utara,8272,Kota Tidore Kepulauan,Kota,2024,64.68,427,5
513,91,Papua Barat,9271,Kota Sorong ko,Kota,2024,76.32,317,6
514,94,Papua,9171,Kota Jayapura ko,Kota,2024,78.35,278,6
