No,Tahun,Kode_Wilayah,Provinsi,Kabupaten_Kota,Kelompok_Bahan_Pangan,Konsumsi_Pangan
12465,2024,1105,Aceh,Aceh Barat,Buah/Biji Berminyak,3.62
12473,2024,1105,Aceh,Aceh Barat,Gula,5.58
12468,2024,1105,Aceh,Aceh Barat,Kacang-kacangan,6.42
12461,2024,1105,Aceh,Aceh Barat,Minyak dan Lemak,10.68
12445,2024,1105,Aceh,Aceh Barat,Padi-Padian,114.29
12455,2024,1105,Aceh,Aceh Barat,Pangan Hewani,56.09
12476,2024,1105,Aceh,Aceh Barat,Sayur dan Buah,81.85
12449,2024,1105,Aceh,Aceh Barat,Umbi-umbian,9.35
12635,2024,1112,Aceh,Aceh Barat Daya,Buah/Biji Berminyak,3.95
12643,2024,1112,Aceh,Aceh Barat Daya,Gula,6.53
12638,2024,1112,Aceh,Aceh Barat Daya,Kacang-kacangan,5.31
12631,2024,1112,Aceh,Aceh Barat Daya,Minyak dan Lemak,10.46
12615,2024,1112,Aceh,Aceh Barat Daya,Padi-Padian,120.36
12625,2024,1112,Aceh,Aceh Barat Daya,Pangan Hewani,52.99
12646,2024,1112,Aceh,Aceh Barat Daya,Sayur dan Buah,64.39
12619,2024,1112,Aceh,Aceh Barat Daya,Umbi-umbian,7.36
12499,2024,1106,Aceh,Aceh Besar,Buah/Biji Berminyak,3.28
12507,2024,1106,Aceh,Aceh Besar,Gula,5.88
12502,2024,1106,Aceh,Aceh Besar,Kacang-kacangan,5.64
12495,2024,1106,Aceh,Aceh Besar,Minyak dan Lemak,8.6
12479,2024,1106,Aceh,Aceh Besar,Padi-Padian,105.87
12489,2024,1106,Aceh,Aceh Besar,Pangan Hewani,54.4
12510,2024,1106,Aceh,Aceh Besar,Sayur dan Buah,63.03
12483,2024,1106,Aceh,Aceh Besar,Umbi-umbian,9.92
12771,2024,1114,Aceh,Aceh Jaya,Buah/Biji Berminyak,3.85
12779,2024,1114,Aceh,Aceh Jaya,Gula,7.82
12774,2024,1114,Aceh,Aceh Jaya,Kacang-kacangan,5.59
12767,2024,1114,Aceh,Aceh Jaya,Minyak dan Lemak,10.2
12751,2024,1114,Aceh,Aceh Jaya,Padi-Padian,131
12761,2024,1114,Aceh,Aceh Jaya,Pangan Hewani,57.57
12782,2024,1114,Aceh,Aceh Jaya,Sayur dan Buah,77.26
12755,2024,1114,Aceh,Aceh Jaya,Umbi-umbian,9.63
12329,2024,1101,Aceh,Aceh Selatan,Buah/Biji Berminyak,6.17
12337,2024,1101,Aceh,Aceh Selatan,Gula,6.29
12332,2024,1101,Aceh,Aceh Selatan,Kacang-kacangan,4.46
12325,2024,1101,Aceh,Aceh Selatan,Minyak dan Lemak,12.2
12309,2024,1101,Aceh,Aceh Selatan,Padi-Padian,113.96
12319,2024,1101,Aceh,Aceh Selatan,Pangan Hewani,51.63
12340,2024,1101,Aceh,Aceh Selatan,Sayur dan Buah,70.23
12313,2024,1101,Aceh,Aceh Selatan,Umbi-umbian,8.57
12295,2024,1110,Aceh,Aceh Singkil,Buah/Biji Berminyak,3.93
12303,2024,1110,Aceh,Aceh Singkil,Gula,8.59
12298,2024,1110,Aceh,Aceh Singkil,Kacang-kacangan,5.37
12291,2024,1110,Aceh,Aceh Singkil,Minyak dan Lemak,12.47
12275,2024,1110,Aceh,Aceh Singkil,Padi-Padian,111.39
12285,2024,1110,Aceh,Aceh Singkil,Pangan Hewani,56.59
12306,2024,1110,Aceh,Aceh Singkil,Sayur dan Buah,85.49
12279,2024,1110,Aceh,Aceh Singkil,Umbi-umbian,13.28
12703,2024,1116,Aceh,Aceh Tamiang,Buah/Biji Berminyak,2.15
12711,2024,1116,Aceh,Aceh Tamiang,Gula,8.94
12706,2024,1116,Aceh,Aceh Tamiang,Kacang-kacangan,6.75
12699,2024,1116,Aceh,Aceh Tamiang,Minyak dan Lemak,11.17
12683,2024,1116,Aceh,Aceh Tamiang,Padi-Padian,96.62
12693,2024,1116,Aceh,Aceh Tamiang,Pangan Hewani,53.82
12714,2024,1116,Aceh,Aceh Tamiang,Sayur dan Buah,73.03
12687,2024,1116,Aceh,Aceh Tamiang,Umbi-umbian,10.06
12431,2024,1104,Aceh,Aceh Tengah,Buah/Biji Berminyak,1.14
12439,2024,1104,Aceh,Aceh Tengah,Gula,8.24
12434,2024,1104,Aceh,Aceh Tengah,Kacang-kacangan,9.13
12427,2024,1104,Aceh,Aceh Tengah,Minyak dan Lemak,11.78
12411,2024,1104,Aceh,Aceh Tengah,Padi-Padian,118.52
12421,2024,1104,Aceh,Aceh Tengah,Pangan Hewani,43.48
12442,2024,1104,Aceh,Aceh Tengah,Sayur dan Buah,108
12415,2024,1104,Aceh,Aceh Tengah,Umbi-umbian,16.15
12363,2024,1102,Aceh,Aceh Tenggara,Buah/Biji Berminyak,5.45
12371,2024,1102,Aceh,Aceh Tenggara,Gula,3.5
12366,2024,1102,Aceh,Aceh Tenggara,Kacang-kacangan,6.48
12359,2024,1102,Aceh,Aceh Tenggara,Minyak dan Lemak,11.37
12343,2024,1102,Aceh,Aceh Tenggara,Padi-Padian,112.86
12353,2024,1102,Aceh,Aceh Tenggara,Pangan Hewani,49.52
12374,2024,1102,Aceh,Aceh Tenggara,Sayur dan Buah,71.61
12347,2024,1102,Aceh,Aceh Tenggara,Umbi-umbian,8.03
12397,2024,1103,Aceh,Aceh Timur,Buah/Biji Berminyak,3.12
12405,2024,1103,Aceh,Aceh Timur,Gula,6.89
12400,2024,1103,Aceh,Aceh Timur,Kacang-kacangan,5.84
12393,2024,1103,Aceh,Aceh Timur,Minyak dan Lemak,8.35
12377,2024,1103,Aceh,Aceh Timur,Padi-Padian,108.61
12387,2024,1103,Aceh,Aceh Timur,Pangan Hewani,52.3
12408,2024,1103,Aceh,Aceh Timur,Sayur dan Buah,65.99
12381,2024,1103,Aceh,Aceh Timur,Umbi-umbian,9
12601,2024,1108,Aceh,Aceh Utara,Buah/Biji Berminyak,3.64
12609,2024,1108,Aceh,Aceh Utara,Gula,6.08
12604,2024,1108,Aceh,Aceh Utara,Kacang-kacangan,3.97
12597,2024,1108,Aceh,Aceh Utara,Minyak dan Lemak,8.43
12581,2024,1108,Aceh,Aceh Utara,Padi-Padian,94.02
12591,2024,1108,Aceh,Aceh Utara,Pangan Hewani,46.59
12612,2024,1108,Aceh,Aceh Utara,Sayur dan Buah,60.02
12585,2024,1108,Aceh,Aceh Utara,Umbi-umbian,7.64
14369,2024,1306,Sumatera Barat,Agam,Buah/Biji Berminyak,3.62
14377,2024,1306,Sumatera Barat,Agam,Gula,5.69
14372,2024,1306,Sumatera Barat,Agam,Kacang-kacangan,6.54
14365,2024,1306,Sumatera Barat,Agam,Minyak dan Lemak,11.03
14349,2024,1306,Sumatera Barat,Agam,Padi-Padian,101.82
14359,2024,1306,Sumatera Barat,Agam,Pangan Hewani,41.15
14380,2024,1306,Sumatera Barat,Agam,Sayur dan Buah,65.71
14353,2024,1306,Sumatera Barat,Agam,Umbi-umbian,14.42
6821,2024,5305,Nusa Tenggara Timur,Alor,Buah/Biji Berminyak,0.5
6829,2024,5305,Nusa Tenggara Timur,Alor,Gula,5.37
6824,2024,5305,Nusa Tenggara Timur,Alor,Kacang-kacangan,3.19
6817,2024,5305,Nusa Tenggara Timur,Alor,Minyak dan Lemak,6.7
6801,2024,5305,Nusa Tenggara Timur,Alor,Padi-Padian,106.6
6811,2024,5305,Nusa Tenggara Timur,Alor,Pangan Hewani,36.32
6832,2024,5305,Nusa Tenggara Timur,Alor,Sayur dan Buah,88.02
6805,2024,5305,Nusa Tenggara Timur,Alor,Umbi-umbian,18.23
13281,2024,1209,Sumatera Utara,Asahan,Buah/Biji Berminyak,3.54
13289,2024,1209,Sumatera Utara,Asahan,Gula,7.87
13284,2024,1209,Sumatera Utara,Asahan,Kacang-kacangan,7.16
13277,2024,1209,Sumatera Utara,Asahan,Minyak dan Lemak,11
13261,2024,1209,Sumatera Utara,Asahan,Padi-Padian,102.03
13271,2024,1209,Sumatera Utara,Asahan,Pangan Hewani,56.91
13292,2024,1209,Sumatera Utara,Asahan,Sayur dan Buah,81.39
13265,2024,1209,Sumatera Utara,Asahan,Umbi-umbian,14.42
11649,2024,9118,Papua Selatan,Asmat,Buah/Biji Berminyak,0.14
11657,2024,9118,Papua Selatan,Asmat,Gula,6.04
11652,2024,9118,Papua Selatan,Asmat,Kacang-kacangan,2.49
11645,2024,9118,Papua Selatan,Asmat,Minyak dan Lemak,7.97
11629,2024,9118,Papua Selatan,Asmat,Padi-Padian,54.8
11639,2024,9118,Papua Selatan,Asmat,Pangan Hewani,49.34
11660,2024,9118,Papua Selatan,Asmat,Sayur dan Buah,52.19
11633,2024,9118,Papua Selatan,Asmat,Umbi-umbian,59.7
4135,2024,5103,Bali,Badung,Buah/Biji Berminyak,0.39
4143,2024,5103,Bali,Badung,Gula,4.1
4138,2024,5103,Bali,Badung,Kacang-kacangan,9.08
4131,2024,5103,Bali,Badung,Minyak dan Lemak,8.31
4115,2024,5103,Bali,Badung,Padi-Padian,137.21
4125,2024,5103,Bali,Badung,Pangan Hewani,53.65
4146,2024,5103,Bali,Badung,Sayur dan Buah,99.63
4119,2024,5103,Bali,Badung,Umbi-umbian,13.92
5665,2024,6311,Kalimantan Selatan,Balangan,Buah/Biji Berminyak,0.55
5673,2024,6311,Kalimantan Selatan,Balangan,Gula,9.4
5668,2024,6311,Kalimantan Selatan,Balangan,Kacang-kacangan,6.53
5661,2024,6311,Kalimantan Selatan,Balangan,Minyak dan Lemak,10.24
5645,2024,6311,Kalimantan Selatan,Balangan,Padi-Padian,116.09
5655,2024,6311,Kalimantan Selatan,Balangan,Pangan Hewani,53.29
5676,2024,6311,Kalimantan Selatan,Balangan,Sayur dan Buah,121.1
5649,2024,6311,Kalimantan Selatan,Balangan,Umbi-umbian,8.47
327,2024,3204,Jawa Barat,Bandung Ka,Buah/Biji Berminyak,0.27
335,2024,3204,Jawa Barat,Bandung Ka,Gula,3.71
330,2024,3204,Jawa Barat,Bandung Ka,Kacang-kacangan,11.01
323,2024,3204,Jawa Barat,Bandung Ka,Minyak dan Lemak,10.95
307,2024,3204,Jawa Barat,Bandung Ka,Padi-Padian,101.07
317,2024,3204,Jawa Barat,Bandung Ka,Pangan Hewani,36.1
338,2024,3204,Jawa Barat,Bandung Ka,Sayur dan Buah,69.66
311,2024,3204,Jawa Barat,Bandung Ka,Umbi-umbian,13.65
769,2024,3217,Jawa Barat,Bandung Barat,Buah/Biji Berminyak,0.18
777,2024,3217,Jawa Barat,Bandung Barat,Gula,3.58
772,2024,3217,Jawa Barat,Bandung Barat,Kacang-kacangan,10.4
765,2024,3217,Jawa Barat,Bandung Barat,Minyak dan Lemak,10.48
749,2024,3217,Jawa Barat,Bandung Barat,Padi-Padian,106.04
759,2024,3217,Jawa Barat,Bandung Barat,Pangan Hewani,36.83
780,2024,3217,Jawa Barat,Bandung Barat,Sayur dan Buah,83.76
753,2024,3217,Jawa Barat,Bandung Barat,Umbi-umbian,17.32
7909,2024,7201,Sulawesi Tengah,Banggai  ,Buah/Biji Berminyak,2.32
7917,2024,7201,Sulawesi Tengah,Banggai  ,Gula,5.7
7912,2024,7201,Sulawesi Tengah,Banggai  ,Kacang-kacangan,6.25
7905,2024,7201,Sulawesi Tengah,Banggai  ,Minyak dan Lemak,9.42
7889,2024,7201,Sulawesi Tengah,Banggai  ,Padi-Padian,116.28
7899,2024,7201,Sulawesi Tengah,Banggai  ,Pangan Hewani,57.2
7920,2024,7201,Sulawesi Tengah,Banggai  ,Sayur dan Buah,114.71
7893,2024,7201,Sulawesi Tengah,Banggai  ,Umbi-umbian,15.55
7875,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Buah/Biji Berminyak,2.16
7883,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Gula,10.12
7878,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Kacang-kacangan,2.8
7871,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Minyak dan Lemak,10.75
7855,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Padi-Padian,121.81
7865,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Pangan Hewani,47.84
7886,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Sayur dan Buah,94.64
7859,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Umbi-umbian,41.34
8215,2024,7211,Sulawesi Tengah,Banggai Laut,Buah/Biji Berminyak,1.46
8223,2024,7211,Sulawesi Tengah,Banggai Laut,Gula,8.41
8218,2024,7211,Sulawesi Tengah,Banggai Laut,Kacang-kacangan,2.33
8211,2024,7211,Sulawesi Tengah,Banggai Laut,Minyak dan Lemak,11.65
8195,2024,7211,Sulawesi Tengah,Banggai Laut,Padi-Padian,121.87
8205,2024,7211,Sulawesi Tengah,Banggai Laut,Pangan Hewani,49.36
8226,2024,7211,Sulawesi Tengah,Banggai Laut,Sayur dan Buah,90.21
8199,2024,7211,Sulawesi Tengah,Banggai Laut,Umbi-umbian,16.34
17021,2024,1901,Bangka Belitung,Bangka,Buah/Biji Berminyak,0.56
17029,2024,1901,Bangka Belitung,Bangka,Gula,5.36
17024,2024,1901,Bangka Belitung,Bangka,Kacang-kacangan,6.05
17017,2024,1901,Bangka Belitung,Bangka,Minyak dan Lemak,7.86
17001,2024,1901,Bangka Belitung,Bangka,Padi-Padian,95.49
17011,2024,1901,Bangka Belitung,Bangka,Pangan Hewani,66.27
17032,2024,1901,Bangka Belitung,Bangka,Sayur dan Buah,110.77
17005,2024,1901,Bangka Belitung,Bangka,Umbi-umbian,14.63
17089,2024,1905,Bangka Belitung,Bangka Barat,Buah/Biji Berminyak,0.4
17097,2024,1905,Bangka Belitung,Bangka Barat,Gula,6.69
17092,2024,1905,Bangka Belitung,Bangka Barat,Kacang-kacangan,5.24
17085,2024,1905,Bangka Belitung,Bangka Barat,Minyak dan Lemak,5.9
17069,2024,1905,Bangka Belitung,Bangka Barat,Padi-Padian,92.81
17079,2024,1905,Bangka Belitung,Bangka Barat,Pangan Hewani,63.97
17100,2024,1905,Bangka Belitung,Bangka Barat,Sayur dan Buah,103.6
17073,2024,1905,Bangka Belitung,Bangka Barat,Umbi-umbian,9.39
17157,2024,1903,Bangka Belitung,Bangka Selatan,Buah/Biji Berminyak,0.8
17165,2024,1903,Bangka Belitung,Bangka Selatan,Gula,7.14
17160,2024,1903,Bangka Belitung,Bangka Selatan,Kacang-kacangan,4.43
17153,2024,1903,Bangka Belitung,Bangka Selatan,Minyak dan Lemak,8.54
17137,2024,1903,Bangka Belitung,Bangka Selatan,Padi-Padian,107.47
17147,2024,1903,Bangka Belitung,Bangka Selatan,Pangan Hewani,62.69
17168,2024,1903,Bangka Belitung,Bangka Selatan,Sayur dan Buah,93.32
17141,2024,1903,Bangka Belitung,Bangka Selatan,Umbi-umbian,11.01
17123,2024,1904,Bangka Belitung,Bangka Tengah,Buah/Biji Berminyak,0.95
17131,2024,1904,Bangka Belitung,Bangka Tengah,Gula,6.62
17126,2024,1904,Bangka Belitung,Bangka Tengah,Kacang-kacangan,5.26
17119,2024,1904,Bangka Belitung,Bangka Tengah,Minyak dan Lemak,7.88
17103,2024,1904,Bangka Belitung,Bangka Tengah,Padi-Padian,98.49
17113,2024,1904,Bangka Belitung,Bangka Tengah,Pangan Hewani,62.54
17134,2024,1904,Bangka Belitung,Bangka Tengah,Sayur dan Buah,111.84
17107,2024,1904,Bangka Belitung,Bangka Tengah,Umbi-umbian,12.62
3353,2024,3526,Jawa Timur,Bangkalan,Buah/Biji Berminyak,0.55
3361,2024,3526,Jawa Timur,Bangkalan,Gula,4.75
3356,2024,3526,Jawa Timur,Bangkalan,Kacang-kacangan,8.76
3349,2024,3526,Jawa Timur,Bangkalan,Minyak dan Lemak,9.36
3333,2024,3526,Jawa Timur,Bangkalan,Padi-Padian,111.26
3343,2024,3526,Jawa Timur,Bangkalan,Pangan Hewani,40.01
3364,2024,3526,Jawa Timur,Bangkalan,Sayur dan Buah,58.64
3337,2024,3526,Jawa Timur,Bangkalan,Umbi-umbian,18.26
4237,2024,5106,Bali,Bangli,Buah/Biji Berminyak,1.55
4245,2024,5106,Bali,Bangli,Gula,6.23
4240,2024,5106,Bali,Bangli,Kacang-kacangan,8.2
4233,2024,5106,Bali,Bangli,Minyak dan Lemak,10.42
4217,2024,5106,Bali,Bangli,Padi-Padian,139.11
4227,2024,5106,Bali,Bangli,Pangan Hewani,45.76
4248,2024,5106,Bali,Bangli,Sayur dan Buah,138.03
4221,2024,5106,Bali,Bangli,Umbi-umbian,14.18
5393,2024,6303,Kalimantan Selatan,Banjar,Buah/Biji Berminyak,0.49
5401,2024,6303,Kalimantan Selatan,Banjar,Gula,9.17
5396,2024,6303,Kalimantan Selatan,Banjar,Kacang-kacangan,7.49
5389,2024,6303,Kalimantan Selatan,Banjar,Minyak dan Lemak,10.51
5373,2024,6303,Kalimantan Selatan,Banjar,Padi-Padian,114.54
5383,2024,6303,Kalimantan Selatan,Banjar,Pangan Hewani,58.03
5404,2024,6303,Kalimantan Selatan,Banjar,Sayur dan Buah,81.58
5377,2024,6303,Kalimantan Selatan,Banjar,Umbi-umbian,9.9
1245,2024,3304,Jawa Tengah,Banjarnegara,Buah/Biji Berminyak,1.17
1253,2024,3304,Jawa Tengah,Banjarnegara,Gula,8.94
1248,2024,3304,Jawa Tengah,Banjarnegara,Kacang-kacangan,11.26
1241,2024,3304,Jawa Tengah,Banjarnegara,Minyak dan Lemak,10.78
1225,2024,3304,Jawa Tengah,Banjarnegara,Padi-Padian,99.07
1235,2024,3304,Jawa Tengah,Banjarnegara,Pangan Hewani,35.02
1256,2024,3304,Jawa Tengah,Banjarnegara,Sayur dan Buah,94.73
1229,2024,3304,Jawa Tengah,Banjarnegara,Umbi-umbian,15.07
8385,2024,7303,Sulawesi Selatan,Bantaeng,Buah/Biji Berminyak,1.29
8393,2024,7303,Sulawesi Selatan,Bantaeng,Gula,5.46
8388,2024,7303,Sulawesi Selatan,Bantaeng,Kacang-kacangan,6.82
8381,2024,7303,Sulawesi Selatan,Bantaeng,Minyak dan Lemak,9.19
8365,2024,7303,Sulawesi Selatan,Bantaeng,Padi-Padian,134.35
8375,2024,7303,Sulawesi Selatan,Bantaeng,Pangan Hewani,52.16
8396,2024,7303,Sulawesi Selatan,Bantaeng,Sayur dan Buah,146.59
8369,2024,7303,Sulawesi Selatan,Bantaeng,Umbi-umbian,12.73
2367,2024,3402,DI Yogyakarta,Bantul,Buah/Biji Berminyak,1.44
2375,2024,3402,DI Yogyakarta,Bantul,Gula,9.54
2370,2024,3402,DI Yogyakarta,Bantul,Kacang-kacangan,11.54
2363,2024,3402,DI Yogyakarta,Bantul,Minyak dan Lemak,10.33
2347,2024,3402,DI Yogyakarta,Bantul,Padi-Padian,95.23
2357,2024,3402,DI Yogyakarta,Bantul,Pangan Hewani,39.19
2378,2024,3402,DI Yogyakarta,Bantul,Sayur dan Buah,91.95
2351,2024,3402,DI Yogyakarta,Bantul,Umbi-umbian,11.86
15797,2024,1607,Sumatera Selatan,Banyuasin,Buah/Biji Berminyak,1.44
15805,2024,1607,Sumatera Selatan,Banyuasin,Gula,8.47
15800,2024,1607,Sumatera Selatan,Banyuasin,Kacang-kacangan,10.17
15793,2024,1607,Sumatera Selatan,Banyuasin,Minyak dan Lemak,11.48
15777,2024,1607,Sumatera Selatan,Banyuasin,Padi-Padian,117.95
15787,2024,1607,Sumatera Selatan,Banyuasin,Pangan Hewani,65.8
15808,2024,1607,Sumatera Selatan,Banyuasin,Sayur dan Buah,117.34
15781,2024,1607,Sumatera Selatan,Banyuasin,Umbi-umbian,25.23
1177,2024,3302,Jawa Tengah,Banyumas,Buah/Biji Berminyak,0.65
1185,2024,3302,Jawa Tengah,Banyumas,Gula,6.79
1180,2024,3302,Jawa Tengah,Banyumas,Kacang-kacangan,11.07
1173,2024,3302,Jawa Tengah,Banyumas,Minyak dan Lemak,11.74
1157,2024,3302,Jawa Tengah,Banyumas,Padi-Padian,107.75
1167,2024,3302,Jawa Tengah,Banyumas,Pangan Hewani,33.42
1188,2024,3302,Jawa Tengah,Banyumas,Sayur dan Buah,105.57
1161,2024,3302,Jawa Tengah,Banyumas,Umbi-umbian,14.45
2809,2024,3510,Jawa Timur,Banyuwangi,Buah/Biji Berminyak,2.19
2817,2024,3510,Jawa Timur,Banyuwangi,Gula,4.25
2812,2024,3510,Jawa Timur,Banyuwangi,Kacang-kacangan,13.49
2805,2024,3510,Jawa Timur,Banyuwangi,Minyak dan Lemak,11.51
2789,2024,3510,Jawa Timur,Banyuwangi,Padi-Padian,114.41
2799,2024,3510,Jawa Timur,Banyuwangi,Pangan Hewani,46.1
2820,2024,3510,Jawa Timur,Banyuwangi,Sayur dan Buah,125.43
2793,2024,3510,Jawa Timur,Banyuwangi,Umbi-umbian,21.84
5427,2024,6304,Kalimantan Selatan,Barito Kuala,Buah/Biji Berminyak,0.9
5435,2024,6304,Kalimantan Selatan,Barito Kuala,Gula,11.51
5430,2024,6304,Kalimantan Selatan,Barito Kuala,Kacang-kacangan,5.93
5423,2024,6304,Kalimantan Selatan,Barito Kuala,Minyak dan Lemak,10.64
5407,2024,6304,Kalimantan Selatan,Barito Kuala,Padi-Padian,119.77
5417,2024,6304,Kalimantan Selatan,Barito Kuala,Pangan Hewani,56.95
5438,2024,6304,Kalimantan Selatan,Barito Kuala,Sayur dan Buah,79.02
5411,2024,6304,Kalimantan Selatan,Barito Kuala,Umbi-umbian,13.74
4951,2024,6204,Kalimantan Tengah,Barito Selatan,Buah/Biji Berminyak,0.38
4959,2024,6204,Kalimantan Tengah,Barito Selatan,Gula,13.49
4954,2024,6204,Kalimantan Tengah,Barito Selatan,Kacang-kacangan,7.44
4947,2024,6204,Kalimantan Tengah,Barito Selatan,Minyak dan Lemak,12.23
4931,2024,6204,Kalimantan Tengah,Barito Selatan,Padi-Padian,103.23
4941,2024,6204,Kalimantan Tengah,Barito Selatan,Pangan Hewani,59.89
4962,2024,6204,Kalimantan Tengah,Barito Selatan,Sayur dan Buah,86.49
4935,2024,6204,Kalimantan Tengah,Barito Selatan,Umbi-umbian,12.33
5223,2024,6213,Kalimantan Tengah,Barito Timur,Buah/Biji Berminyak,0.67
5231,2024,6213,Kalimantan Tengah,Barito Timur,Gula,9.4
5226,2024,6213,Kalimantan Tengah,Barito Timur,Kacang-kacangan,7.66
5219,2024,6213,Kalimantan Tengah,Barito Timur,Minyak dan Lemak,11.07
5203,2024,6213,Kalimantan Tengah,Barito Timur,Padi-Padian,104.33
5213,2024,6213,Kalimantan Tengah,Barito Timur,Pangan Hewani,62.57
5234,2024,6213,Kalimantan Tengah,Barito Timur,Sayur dan Buah,105.95
5207,2024,6213,Kalimantan Tengah,Barito Timur,Umbi-umbian,12.39
4985,2024,6205,Kalimantan Tengah,Barito Utara,Buah/Biji Berminyak,0.27
4993,2024,6205,Kalimantan Tengah,Barito Utara,Gula,8.38
4988,2024,6205,Kalimantan Tengah,Barito Utara,Kacang-kacangan,6.34
4981,2024,6205,Kalimantan Tengah,Barito Utara,Minyak dan Lemak,9.31
4965,2024,6205,Kalimantan Tengah,Barito Utara,Padi-Padian,93.37
4975,2024,6205,Kalimantan Tengah,Barito Utara,Pangan Hewani,48.72
4996,2024,6205,Kalimantan Tengah,Barito Utara,Sayur dan Buah,82.76
4969,2024,6205,Kalimantan Tengah,Barito Utara,Umbi-umbian,7.54
8623,2024,7311,Sulawesi Selatan,Barru,Buah/Biji Berminyak,1.01
8631,2024,7311,Sulawesi Selatan,Barru,Gula,7.87
8626,2024,7311,Sulawesi Selatan,Barru,Kacang-kacangan,6.68
8619,2024,7311,Sulawesi Selatan,Barru,Minyak dan Lemak,9.01
8603,2024,7311,Sulawesi Selatan,Barru,Padi-Padian,126.74
8613,2024,7311,Sulawesi Selatan,Barru,Pangan Hewani,51.02
8634,2024,7311,Sulawesi Selatan,Barru,Sayur dan Buah,78.41
8607,2024,7311,Sulawesi Selatan,Barru,Umbi-umbian,6.45
1959,2024,3325,Jawa Tengah,Batang,Buah/Biji Berminyak,1.13
1967,2024,3325,Jawa Tengah,Batang,Gula,7.8
1962,2024,3325,Jawa Tengah,Batang,Kacang-kacangan,13.81
1955,2024,3325,Jawa Tengah,Batang,Minyak dan Lemak,8.99
1939,2024,3325,Jawa Tengah,Batang,Padi-Padian,121.31
1949,2024,3325,Jawa Tengah,Batang,Pangan Hewani,41.64
1970,2024,3325,Jawa Tengah,Batang,Sayur dan Buah,93.34
1943,2024,3325,Jawa Tengah,Batang,Umbi-umbian,15.02
15321,2024,1504,Jambi,Batang Hari,Buah/Biji Berminyak,1.44
15329,2024,1504,Jambi,Batang Hari,Gula,9.53
15324,2024,1504,Jambi,Batang Hari,Kacang-kacangan,6.78
15317,2024,1504,Jambi,Batang Hari,Minyak dan Lemak,11.73
15301,2024,1504,Jambi,Batang Hari,Padi-Padian,95.11
15311,2024,1504,Jambi,Batang Hari,Pangan Hewani,49.61
15332,2024,1504,Jambi,Batang Hari,Sayur dan Buah,95.45
15305,2024,1504,Jambi,Batang Hari,Umbi-umbian,17.46
13655,2024,1219,Sumatera Utara,Batu Bara,Buah/Biji Berminyak,2.75
13663,2024,1219,Sumatera Utara,Batu Bara,Gula,7.53
13658,2024,1219,Sumatera Utara,Batu Bara,Kacang-kacangan,6
13651,2024,1219,Sumatera Utara,Batu Bara,Minyak dan Lemak,10.86
13635,2024,1219,Sumatera Utara,Batu Bara,Padi-Padian,97.46
13645,2024,1219,Sumatera Utara,Batu Bara,Pangan Hewani,46.61
13666,2024,1219,Sumatera Utara,Batu Bara,Sayur dan Buah,70.92
13639,2024,1219,Sumatera Utara,Batu Bara,Umbi-umbian,10.83
735,2024,3216,Jawa Barat,Bekasi Ka,Buah/Biji Berminyak,0.22
743,2024,3216,Jawa Barat,Bekasi Ka,Gula,3.19
738,2024,3216,Jawa Barat,Bekasi Ka,Kacang-kacangan,11.74
731,2024,3216,Jawa Barat,Bekasi Ka,Minyak dan Lemak,10.1
715,2024,3216,Jawa Barat,Bekasi Ka,Padi-Padian,113.97
725,2024,3216,Jawa Barat,Bekasi Ka,Pangan Hewani,43.67
746,2024,3216,Jawa Barat,Bekasi Ka,Sayur dan Buah,75.66
719,2024,3216,Jawa Barat,Bekasi Ka,Umbi-umbian,8.1
17055,2024,1902,Bangka Belitung,Belitung,Buah/Biji Berminyak,0.81
17063,2024,1902,Bangka Belitung,Belitung,Gula,6.21
17058,2024,1902,Bangka Belitung,Belitung,Kacang-kacangan,5.15
17051,2024,1902,Bangka Belitung,Belitung,Minyak dan Lemak,10.05
17035,2024,1902,Bangka Belitung,Belitung,Padi-Padian,93.8
17045,2024,1902,Bangka Belitung,Belitung,Pangan Hewani,67.8
17066,2024,1902,Bangka Belitung,Belitung,Sayur dan Buah,94.61
17039,2024,1902,Bangka Belitung,Belitung,Umbi-umbian,12.42
17191,2024,1906,Bangka Belitung,Belitung Timur,Buah/Biji Berminyak,1.14
17199,2024,1906,Bangka Belitung,Belitung Timur,Gula,5.14
17194,2024,1906,Bangka Belitung,Belitung Timur,Kacang-kacangan,6.06
17187,2024,1906,Bangka Belitung,Belitung Timur,Minyak dan Lemak,12.12
17171,2024,1906,Bangka Belitung,Belitung Timur,Padi-Padian,98.46
17181,2024,1906,Bangka Belitung,Belitung Timur,Pangan Hewani,69.79
17202,2024,1906,Bangka Belitung,Belitung Timur,Sayur dan Buah,86.29
17175,2024,1906,Bangka Belitung,Belitung Timur,Umbi-umbian,9.63
6787,2024,5304,Nusa Tenggara Timur,Belu,Buah/Biji Berminyak,0.02
6795,2024,5304,Nusa Tenggara Timur,Belu,Gula,4.51
